Location,Population,Avg. Monthly Keyword Searches,Keyword Searches (per 100k Population),Ranking (per 100k Population)
Illinois,"12,549,689","22,386",178.38,1
Wyoming,"584,057",956,163.65,2
Nevada,"3,194,176","5,039",157.76,3
Delaware,"1,031,890","1,628",157.72,4
North Dakota,"783,926","1,205",153.71,5
Rhode Island,"1,095,962","1,672",152.53,6
Vermont,"647,464",979,151.23,7
Alaska,"733,406","1,093",149.08,8
South Dakota,"919,318","1,315",143.04,9
New Mexico,"2,114,371","2,872",135.82,10
Hawaii,"1,435,138","1,888",131.58,11
New Hampshire,"1,402,054","1,808",128.98,12
Montana,"1,132,812","1,448",127.85,13
Colorado,"5,877,610","7,507",127.72,14
Nebraska,"1,978,379","2,516",127.17,15
West Virginia,"1,770,071","2,240",126.55,16
Maine,"1,395,722","1,750",125.38,17
Arizona,"7,431,344","9,100",122.45,18
Massachusetts,"7,001,399","8,274",118.18,19
Utah,"3,417,734","4,032",117.96,20
Georgia,"11,029,227","13,001",117.88,21
Connecticut,"3,617,176","4,144",114.57,22
Texas,"30,503,301","34,444",112.92,23
New York,"19,571,216","21,895",111.87,24
California,"38,965,193","43,538",111.73,25
North Carolina,"10,835,491","12,009",110.83,26
Maryland,"6,180,253","6,849",110.82,27
Idaho,"1,964,726","2,166",110.24,28
Oregon,"4,233,358","4,658",110.04,29
Kansas,"2,940,546","3,230",109.84,30
Indiana,"6,862,199","7,367",107.35,31
Kentucky,"4,526,154","4,819",106.47,32
Missouri,"6,196,156","6,528",105.36,33
Tennessee,"7,126,489","7,489",105.09,34
Pennsylvania,"12,961,683","13,531",104.39,35
Louisiana,"4,573,749","4,773",104.36,36
Florida,"22,610,726","23,587",104.32,37
Virginia,"8,715,698","9,041",103.73,38
Oklahoma,"4,053,824","4,196",103.50,39
Arkansas,"3,067,732","3,159",102.98,40
Iowa,"3,207,004","3,254",101.47,41
Ohio,"11,785,935","11,906",101.02,42
Washington,"7,812,880","7,877",100.82,43
Alabama,"5,108,468","5,085",99.54,44
South Carolina,"5,373,555","5,285",98.35,45
New Jersey,"9,290,841","9,118",98.13,46
Mississippi,"2,939,690","2,853",97.06,47
Michigan,"10,037,261","9,534",94.99,48
Minnesota,"5,737,915","5,185",90.36,49
Wisconsin,"5,910,955","5,296",89.59,50